name,region,rating,Red_Wine
1000 Stories Bourbon Barrel Aged Batch Blue Carignan 2016,"Mendocino, California",91,1
1000 Stories Bourbon Barrel Aged Gold Rush Red 2017,California,90,1
1000 Stories Bourbon Barrel Aged Zinfandel 2013,"North Coast, California",91,1
1000 Stories Bourbon Barrel Aged Zinfandel 2014,California,90,1
1000 Stories Bourbon Barrel Aged Zinfandel 2016,California,91,1
1000 Stories Bourbon Barrel Aged Zinfandel 2017,California,92,1
12 Linajes Crianza 2014,"Ribera del Duero, Spain",92,1
12 Linajes Reserva 2012,"Ribera del Duero, Spain",94,1
1849 Declaration Napa Valley Cabernet Sauvignon 2014,"Napa Valley, California",91,1
1849 Iris Pinot Noir 2016,"Sonoma Coast, Sonoma County, California",90,1
1865 Selected Vineyards Cabernet Sauvignon 2014,"Maipo Valley, Chile",91,1
1865 Selected Vineyards Cabernet Sauvignon 2015,"Maipo Valley, Chile",91,1
1865 Selected Vineyards Carmenere 2011,Chile,91,1
1865 Single Vineyard Cabernet Sauvignon 2011,Chile,91,1
1865 Single Vineyard Sauvignon Blanc 2011,Chile,91,0
1865 Single Vineyard Sauvignon Blanc 2013,Chile,90,0
1865 Single Vineyard Sauvignon Blanc 2014,"Leyda Valley, San Antonio Valley (Chile), Chile",90,0
1865 Single Vineyard Sauvignon Blanc 2015,"Leyda Valley, San Antonio Valley (Chile), Chile",91,0
1881 Napa Cabernet Sauvignon 2018,"Napa Valley, California",90,1
1924 Double Black Red Blend 2013,California,90,1
2 up Shiraz 2005,Australia,90,1
3 Rings Reserve Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",96,1
3 Rings Reserve Shiraz 2005,"Barossa Valley, Barossa, South Australia, Australia",91,1
3 Rings Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",91,1
3 Rings Shiraz 2007,"Barossa Valley, Barossa, South Australia, Australia",90,1
3 Rings Shiraz 2008,"Barossa Valley, Barossa, South Australia, Australia",90,1
3 Rings Shiraz 2012,"Barossa Valley, Barossa, South Australia, Australia",90,1
3 Rings Shiraz 2013,"Barossa Valley, Barossa, South Australia, Australia",92,1
3 Stones Sauvignon Blanc 2008,"Marlborough, New Zealand",90,0
4 Monos Tinto 2012,Spain,92,1
689 Cellars Killer Drop Red Blend 2014,California,91,1
9 Mile Road Cabernet Sauvignon 2008,Australia,90,1
A. Christmann Riesling Pfalz 2018,"Pfalz, Germany",90,0
A. Christmann Riesling Reiterpfad Hofstuck Grosses Gewachs 2015,"Pfalz, Germany",93,0
A Coroa Godello 2009,Spain,91,0
A Coroa Godello 2013,"Valdeorras, Spain",90,0
A Coroa Godello 2016,"Valdeorras, Spain",92,0
A. Margaine Brut Cuvee Traditionelle,"Champagne, France",92,0
A. Margaine Extra Brut,"Champagne, France",91,0
A Portela Mencia 2010,Spain,90,1
A Portela Mencia 2011,Spain,93,1
A Portela Mencia 2013,Spain,92,1
A. Semedo Bairrada Tinto 2012,Portugal,91,1
A to Z Chardonnay 2006,Oregon,90,0
A to Z Chardonnay 2014,Oregon,90,0
A to Z Chardonnay 2018,Oregon,90,0
A to Z Essence Pinot Noir 2015,Oregon,90,1
A to Z Pinot Gris 2015,Oregon,90,0
A to Z Pinot Gris 2016,Oregon,90,0
A to Z Pinot Noir 2006,"Willamette Valley, Oregon",90,1
A to Z Pinot Noir 2009,"Willamette Valley, Oregon",90,1
A to Z Pinot Noir 2011,Oregon,90,1
A to Z Riesling 2013,Oregon,90,0
A to Z Riesling 2014,"Rogue Valley, Oregon",90,0
A to Z Riesling 2015,"Rogue Valley, Oregon",92,0
A to Z Riesling 2016,"Rogue Valley, Oregon",92,0
A to Z Riesling 2017,"Rogue Valley, Oregon",90,0
A Tribute to Grace Santa Barbara County Grenache 2016,"Santa Barbara, Central Coast, California",91,1
A Tribute to Grace Santa Barbara County Grenache 2017,"Santa Barbara, Central Coast, California",91,1
A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2017,"Central Coast, California",90,0
A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2012,"Amador, Sierra Foothills, California",91,1
A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013,"Amador, Sierra Foothills, California",90,1
A Tribute to Grace Vie Caprice Vineyard Grenache 2014,"Santa Ynez Valley, Santa Barbara, Central Coast, California",90,1
A Tribute to Grace Vie Caprice Vineyard Grenache 2015,"Santa Ynez Valley, Santa Barbara, Central Coast, California",90,1
Aalto 2003,"Ribera del Duero, Spain",90,1
Aalto 2004,"Ribera del Duero, Spain",94,1
Aalto 2005,"Ribera del Duero, Spain",95,1
Aalto 2007,"Ribera del Duero, Spain",95,1
Aalto 2006,"Ribera del Duero, Spain",90,1
Aalto 2008,"Ribera del Duero, Spain",95,1
Aalto 2009,"Ribera del Duero, Spain",91,1
Aalto 2010,"Ribera del Duero, Spain",94,1
Aalto 2011,"Ribera del Duero, Spain",91,1
Aalto 2012,"Ribera del Duero, Spain",94,1
Aalto 2013,"Ribera del Duero, Spain",93,1
Aalto 2014,"Ribera del Duero, Spain",92,1
Aalto 2015,"Ribera del Duero, Spain",93,1
Aalto 2016,"Ribera del Duero, Spain",95,1
Aalto PS 2011,"Ribera del Duero, Spain",94,1
Aalto PS 2013,"Ribera del Duero, Spain",95,1
Aalto PS 2014,"Ribera del Duero, Spain",94,1
Aalto PS 2015,"Ribera del Duero, Spain",95,1
Aaron Wines Petite Sirah 2015,"Paso Robles, Central Coast, California",93,1
Abacela Albarino 2009,"Umpqua Valley, Oregon",90,0
Abacela Albarino 2010,"Umpqua Valley, Oregon",90,0
Abacela Albarino 2019,"Umpqua Valley, Oregon",91,0
Abacela Estate Tempranillo 2006,"Umpqua Valley, Oregon",91,1
Abacela Estate Tempranillo 2007,"Umpqua Valley, Oregon",90,1
Abacela Fiesta Tempranillo 2014,"Umpqua Valley, Oregon",91,1
